,question,answer
14,"언어학과 교수님과 인터뷰를 진행하겠습니다.
                Q:언어학과 교수님 안녕하세요.
                A:네 안녕하세요. 언어학과 교수입니다.
                Q:질문이 있습니다. 감사합니다.
                A:",
15,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 교수님께서 이 학과(전공)를 선택하시게 된 동기는 무엇이었습니까?
                A:","저 개인적으로 문학을 하기 위해서 국문학과를 선택하게 됐습니다. 국문학은 한국 사회를 가장 잘 볼 수 있는 일종의 렌즈 같은 것입니다. 다른 방식으로도 한국 사회를 볼 수 있지만 문학이라고 하는 것은 상상력을 통해서 좀 더 나은 세계, 나은 삶 등을 추구하는 것이고 ‘한국 사회에 사는 사람들에게 질적으로 좀 더 나은 삶이 있을까’ 이런 것들을 알고 싶어서 국문학과를 선택하게 됐습니다."
16,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 그러면 어떤 분야에 관심을 가지고 있는 사람들이 이 학과에 입학을 하면 좋다고 생각하시나요?
                A:","국문학과는 전공이 여러 가지인데 크게 어학이 있고 문학이 있습니다. 즉 언어에 대해서 관심이 있는 사람, 그 언어 가운데에서도 한국어에 관심이 있고 한국어를 좀 더 깊이 있게 알고 싶은 사람 이게 첫 번째이고 두 번째는 문학이죠. 많은 사람들이 문학을 읽고 그 길로 가려고 하는데 그런 사람들이 국문학과를 선택하는 것이 좋겠죠."
17,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 그러면 이 학과에 입학하면 가장 중요한 공부는 어떤 내용인가요?
                A:",역시 문학에 대한 이해가 가장 중요한 공부일 테고 그 외에 언어에 대한 지식들 그리고 한국 문화에 대한 지식들이 가장 중요한 공부가 되겠죠.
18,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 이 학과에서 공부를 잘 하려면 중고등학교 때부터 특히 어떤 교과목을 공부하면 좋을까요?
                A:","당연히 국어가 가장 중요합니다. 문학에 관심이 있다면, 문학 속에 그려진 인간들의 삶을 보는 것이 문학공부이기 때문에 이는 모든 분야에 다 걸쳐 있는 종합적 학문이라고 볼 수 있습니다. 특히 철학이나 윤리 같은 과목도 중요하고, 사람 사는 또 하나의 모습인 역사, 그리고 사회 및 인문 교과목들을 폭넓게 공부하는 것이 국어국문학과에서 잘 공부할 수 있는 방법이라고 할 수 있습니다. 고등학교 때 배우던 국어과목과는 다른 차원의 학문으로 바뀌므로 꼭 중고등학교 때 국어를 잘 한다고 해서 대학교 국어국문학과에서 공부를 잘 한다고 볼 수는 없습니다. 대신 더 많은 지식들이 필요하게 되고 그것들은 다른 교과목들, 윤리라든지 역사라든지 사회교과목들의 뒷받침이 되지 않고서는 국어국문학과에서 공부하기가 힘들다고 할 수 있습니다."
19,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 이 학과의 장점을 말씀을 해 주신다면요?
                A:","폭이 넓다는 점, 왜 폭이 넓은가 하면 가장 기초적인 교과목들을 공부하기 때문에 폭이 넓은 것이 가장 큰 장점이자 가장 큰 단점이기도 합니다. 이 대학에서 가장 기본적인 학문이 바로 인문학이고 인문학 중에서도 가장 기본적인 학문이 국문학입니다. 다른 학문들 하는 데에 베이스, 기초가 되는 학문이기 때문에 다른 학문들로 진출을 하거나 아니면 다른 직업들로 진출을 하는데 기초적인 것을 공부한다는 점이 장점이죠. 즉 어떤 것들이든 많은 가능성들이 열려 있습니다. 대신에 특정한 가능성들을 가지고 어느 방향으로 나아가게 하지는 않는다 이게 단점이죠. 가능성이 많으면서도 어떤 사람에게는 가능성이 없는 것이기도 하죠. 이게 장점이자 단점이라고 얘기할 수 있습니다."
20,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 그러면 이 학과에서 공부하는 학생들이 겪는 어려움은 어떤 것이 있나요?
                A:","방금 말한 것과 연관이 되는데 대학을 졸업하고 난 이후에 어떤 진로로 나가야 할지에 대한 고민을 아마 학생들이 제일 많이 가질 것이라는 생각을 합니다. 국문학과를 졸업해서 가질 수 있는 직업들이 몇 가지가 있기는 합니다. 교직으로 나간다든지 아니면 언어를 활용해서 기자, 피디, 방송 작가, 일반 작가 등의 진로로 나갈 수 있습니다. 하지만 이런 분야도 지금은 더 세분화된 학문들이 담당하고 있습니다. 예를 들면 기자 같은 경우에는 신문방송학이나 언론학 같은 데에서 더 하고 있습니다. 작가 같은 경우에는 문예창작학과가 전문적으로 하고 있습니다. 그런데 전문적으로 하고 있는 것의 밑바탕은 역시 국어국문학이고, 그렇기 때문에 학생들이 제일 어려움을 겪는 것은 역시 어떤 길로 가야 될까 라는 것이죠."
21,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 공부 쪽에서는 어느 쪽이 힘들까요?
                A:","공부 쪽에서 요즘 학생들이 제일 힘들어 하는 것은 역시 한자에요. 언어 능력 가운데에서, 한국어를 이해하는데 있어 중요한 것 중에 하나가 한자를 이해하는 것인데 요즘 들어오는 학생들은 한자를 많이 공부하지 않은 학생들입니다. 때문에 특히 고전문학 텍스트들을 읽어내는데 조금 어려움들이 있죠."
22,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 그러면 학과 졸업생들이 가장 많이 진출하는 직업 분야는 어디인가요?
                A:","다양하다고 얘기할 수 있습니다. 아까 말씀 드린 대로 딱히 정해져 있지는 않지만 교직, 신문방송, 출판사, 작가 쪽이 현재로서는 제일 많은 편에 속한다고 할 수 있습니다."
23,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 학과의 앞으로의 전망은 어떻다고 생각하시나요?
                A:","시대가 어떻게 달라지느냐에 따라서 다릅니다. 기초 학문들을 중요하게 생각하는 시대가 되면 더 좋아질 텐데 지금은 좀 어려운 점들이 있습니다. 지금은 대학을 졸업하고 나서 바로 기업에서 쓸 수 있는 사람들을 요구하고 있기 때문에 실용적인 학문들을 하는 학과들이 취업이 잘 되고 사회적으로 쓸모가 많은 것으로 인식됩니다. 반면 외국(미국) 같은 경우는 영어영문학과 학생들이 진출할 수 있는 데가 많거든요. 그리고 한 10년 전만 하더라도 대학을 졸업하는 사람들이 실용적인 기술이 아니라 기초적인 학문 능력을 갖추고 있다고 생각되어서 인재로서 많이 요구됐습니다. 지금은 바로 쓸 수 있는 인재들을 요구하고 있기 때문에 현재로서는 국어국문학과가 상대적으로 주춤한 것이 사실입니다. 하지만 아마 이런 한계들, 그러니까 바로 쓸 수 있는 기능인들을 선호하고 있는 지금의 사회 풍조가 한계에 도달할 것입니다. 그런 징조로 삼성 같은 곳에서 ‘인문학을 하는 사람들을 뽑겠다’, ‘창의적인 사람들을 뽑겠다’라고 하고, IT 분야에서 스티브 잡스 같은 사람, 철학이나 역사 등 인문학의 기초적인 지식들을 가진 인재들이 창의적인 사회에서 필요한 시기가 올 것이라고 저는 생각하고 있습니다."
24,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 지금은 없지만 앞으로 새로 생기게 될 직업은 어떤 것이 있다고 생각하시나요? 혹은 최근에 새롭게 생겨난 직업이 있습니까?
                A:","요즘 IT 분야 등에서 게임 같은 것들을 개발하는 사람들이 많이 생겨나고 있죠.  국어국문과 학생들이 가장 잘 할 수 있는 것이 그 동안 많은 문학을 읽었기 때문에 스토리텔링입니다. 이 스토리텔링을 이용한 창의적인 프로그램을 만드는 것, 프로그램을 기술적으로 개발해 내지는 못하겠지만 어떤 것들이 창의적인 프로그램이 될 수 있을까를 상상해 내는 것들은 가능하지 않을까 생각합니다."
25,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 이 학과를 전공하는 학생이 진학 전에 미리 공부해야 될 것이 있다면 어떤 것이 있나요?
                A:","한자를 많이 공부 해야 되고, 문학 작품을 많이 읽고 진학을 하면 대학교에서 좀 더 나은 공부를 할 수 있을 것이라고 생각합니다."
26,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 이 학과를 지망하는 중고생들에게 마지막으로 한 말씀해 주신다면요?
                A:","기능인이 되고 싶은 사람들은 국어국문학과로 올 필요가 없습니다. 창의적이고 세상을 폭넓게 인식하고 거기에서 뭔가 새롭게 만들어내려고 하는 사람들, 창의적인 사람들은 국어국문과를 선택해서 자기 능력들을 마음껏 펼쳤으면 좋겠습니다."
27,"국어국문학과 교수님과 인터뷰를 진행하겠습니다.
                Q:국어국문학과 교수님 안녕하세요.
                A:네 안녕하세요. 국어국문학과 교수입니다.
                Q:질문이 있습니다. 감사합니다.
                A:",
28,"문예창작학과 교수님과 인터뷰를 진행하겠습니다.
                Q:문예창작학과 교수님 안녕하세요.
                A:네 안녕하세요. 문예창작학과 교수입니다.
                Q:질문이 있습니다. 교수님께서 이 학과(전공)를 선택하시게 된 동기는 무엇이었습니까?
                A:","저는 어릴 때부터 글을 쓰고, 제 생각을 글로써 표현하고 이야기로 만드는 것에 관심이 있었어요. 책 읽는 것도 좋아하고요. 중학교, 고등학교 때 ‘이러한 적성을 살릴 수 있는 학과는 무엇일까?’ 진로에 대해서 고민을 할 때 제가 좋아하는 것, 잘 할 수 있는 것을 기준으로 두고 학과를 선택을 하는데 국문학과만 생각났어요. 문학에 대한 이해와 관심 그리고 창작에 대한 저의 열정. 그런데 생각을 해 보니까 국문학과 안에서는 문학, 어학, 고전문학 등 다양한 것을 배우는데 제가 더 주력해서 배우고 싶었던 것은 창작이라고 하는 분야였어요. 그러니까 좀 더 창작에 대해서 배울 수 있고 제가 역량을 발휘할 수 있는 학과가 국문학과나 인문학의 여러 과에서 다 가능하기는 하지만 문예창작학과가 더 적합하다는 확신이 있어서 들어가게 되었죠."
29,"문예창작학과 교수님과 인터뷰를 진행하겠습니다.
                Q:문예창작학과 교수님 안녕하세요.
                A:네 안녕하세요. 문예창작학과 교수입니다.
                Q:질문이 있습니다. 그러면 어떤 분야에 관심을 가지고 있는 사람들이 이 학과에 입학을 하면 좋다고 생각하시나요?
                A:","일단은 문학이나 문화 전반에 대해서 관심을 가지고 있는 사람들, 그 다음에 상상력이나 창의적인 생각을 통해 무언가를 창작을 하는 것에 관심이나 재능이 있는 친구들이 유리할 것 같아요. 그래서 창의적인 분야 그리고 문학, 문화 전반에 대한 관심 같은 것을 통해서 대중과의 소통이나 메시지의 전달 능력 같은 역량을 가진 친구들이 좋다고 생각해요. 보통 작가, 신문, 방송, 기획이나 아이디어 창출 이런 부분에 진출할 수 있기 때문에 이런 분야에 관심이 있으면 입학할 때 좋죠."
30,"문예창작학과 교수님과 인터뷰를 진행하겠습니다.
                Q:문예창작학과 교수님 안녕하세요.
                A:네 안녕하세요. 문예창작학과 교수입니다.
                Q:질문이 있습니다. 그러면 이 학과에 입학하면 가장 중요한 공부는 어떤 내용인가요?
                A:","창작을 하기 위한 기본 바탕은 문학이에요. 문학에 대한 전반적인 이론, 작품을 감상？이해하고 그것을 다시 나의 창작으로 응용할 수 있는 문학에 대한 공부를 기본적으로 하게 됩니다. 그 다음에 작가 의식, 그 다음에 철학, 인간의 사유 과정을 굉장히 중요하게 생각하는 학과이기 때문에 본인의 작가 의식과 철학적인 면 그리고 표현과 이해, 전달과 소통, 공유 이런 것들이 공부의 주된 내용이에요. 좀 더 덧붙이자면 이런 것들을 바탕으로 창작을 배운다는 것이 중요합니다. 창작하고 그것을 가지고 세미나를 하고 더 나은 기량을 발휘할 수 있도록 완성도를 높이는 창작 실습을 주로 많이 하게 되죠."
31,"문예창작학과 교수님과 인터뷰를 진행하겠습니다.
                Q:문예창작학과 교수님 안녕하세요.
                A:네 안녕하세요. 문예창작학과 교수입니다.
                Q:질문이 있습니다. 이 학과에서 공부를 잘 하려면 중고등학교 때부터 특히 어떤 교과목을 공부하면 좋을까요?
                A:","제 생각에는 인문학적인 부분에 관심이 있는 것이 중요합니다. 문예창작학과는 국어, 문학, 역사, 철학 그리고 인간의 심리를 바탕으로 하는 학문이기 때문에 그런 쪽에 관심이 있으면 더더욱 좋죠. 그래서 인문학에 대한 소양과 문화 예술에 대한 흥미가 있어야 된다고 생각해요. 무엇인가를 창조해 내야 되고 표현하는 것에 대해서 단절되어 있는 것이 아니라 열려 있어야 되거든요."
32,"문예창작학과 교수님과 인터뷰를 진행하겠습니다.
                Q:문예창작학과 교수님 안녕하세요.
                A:네 안녕하세요. 문예창작학과 교수입니다.
                Q:질문이 있습니다. 이 학과의 장점을 말씀을 해 주신다면요?
                A:","문학 이론을 바탕으로 다양한 장르의 문학을 배우고, 직접 창작할 수 있다는 점, 실기 지도와 실습을 통해서 작가의 역량을 기를 수 있다는 점이 문예창작학과의 최대 강점이라고 생각해요. 그리고 이런 것들이 단지 작가만 되기 위한 것이 아니라 일상 생활(가정？사회 생활)에서 표현할 때 굉장히 큰 장점이 되거든요. 표현에 있어서 자유로움을 배우고 문화나 인종 등 다양함 속에서 유연하게 대처하고 또 융합시킬 수 있다라는 점. 그런 것들이 문예창작학과의 장점입니다."
33,"문예창작학과 교수님과 인터뷰를 진행하겠습니다.
                Q:문예창작학과 교수님 안녕하세요.
                A:네 안녕하세요. 문예창작학과 교수입니다.
                Q:질문이 있습니다. 그러면 이 학과에서 공부하는 학생들이 겪는 어려움은 어떤 것이 있나요?
                A:","문예창작학과에 진학하는 학생들은 공통적으로 문학과 창작에 관심이 있는 친구들이에요. 그런데 문예창작학과에 와서 어려운 점을 겪는다면 장르별로 모두 공부를 한다는 점이에요. 시, 소설, 희곡, 드라마 시나리오, 광고 카피 또는 응용 학문이라고 해서 출판 편집 그리고 기획 이벤트 등등까지 많이 배우는데 창작을 하지 않고 관심만 있는 친구들은 굉장히 어려워요. 읽고 이해하고 배우는 것은 잘 하지만 창작해 내야 하고 소통 공감할 수 있는 글을 써 내야 한다는 점은 수련이 필요한 분야이기 때문에 이 부분이 조금 힘듭니다. 모든 예술 분야가 그렇지만 빠른 시간 안에 성적이 오르지 않는다는 점. 따라서 문예창작학과에서는 창작 과정을 배운다는 것이 어렵고, 이 과정은 또한 수련 과정이다라는 점. 정신적, 정서적인 어떤 성숙과 철학적 사유 과정이 필요해요. 학생들이 글 쓰는 기술적인 면을 배우는 것도 중요하지만 본인들의 인생의 경험, 그 경험 안에서 성숙하는 과정이 필요하다는 점. 그래서 시간과 인내와 노력이 함께 들어가야 된다라는 점이 조금 어려운 부분입니다."
34,"문예창작학과 교수님과 인터뷰를 진행하겠습니다.
                Q:문예창작학과 교수님 안녕하세요.
                A:네 안녕하세요. 문예창작학과 교수입니다.
                Q:질문이 있습니다. 그러면 학과 졸업생들이 가장 많이 진출하는 직업 분야는 어디인가요?
                A:","문예창작학과는 가장 기본적으로 작가를 지향하는 목표를 가지고 있어요. 작가는 뭔가를 만들어 내는 사람인데 시인이나 소설가, 아동문학가 등 순수 문예 쪽의 작가를 지망하는 친구들은 순수 예술가로 진출합니다. 두 번째로는 순수 예술 분야에서 응용된 분야, 방송작가라든지 시나리오, 카툰, 게임 스토리 작가가 있습니다. 세 번째로는 좀 더 산업 분야, 문화 전반으로 진출한 친구들인데 광고 회사에서 카피라이터라든가 신문사, 잡지사, 출판사, 기획사 쪽으로도 많이 진출합니다. 네 번째로는 글 쓰기 능력을 가르치는 일에 친구들이 많이 있어요.  글짓기 독서논술지도사, 입시 논술 같은 것들을 하기도 하고 대학원에 진학 해서 강단에 서기도 하고 다양하게 진출하고 있습니다."
